id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
8,0,14,1,900.0,UNSAT,0.1,969,88392,,15072210bb5f8492bcbdb0ece373363107bf0df30e8698de82311ae1a04bb313,drat-trim,0.1,True,0.3,12:54:11,
0,0,14,1,900.0,UNSAT,0.1,1751,115108,,faffcdd0c6b8542f741180cebf96fb024326b5dc0c70f68b83c9f61dd0883a2b,drat-trim,0.1,True,0.3,12:54:11,
7,0,14,1,900.0,UNSAT,0.1,1560,102233,,c6df16b50d9745c347234ef2c2e4d242c500f2a3f006378af034b56fc01cbb06,drat-trim,0.1,True,0.3,12:54:11,
1,0,14,1,900.0,UNSAT,0.1,1926,110735,,6b4aabe757bd17e3b27fb3256a50d989592b78976c07a1accdb1e0a7738f77db,drat-trim,0.1,True,0.4,12:54:11,
6,0,14,1,900.0,UNSAT,0.1,1856,111559,,501e56214f30247f81072d8a47c5429d045f4f698c7b7e320a325e455f6593fa,drat-trim,0.1,True,0.4,12:54:11,
4,0,14,1,900.0,UNSAT,0.1,2394,141551,,a579bff1091dd58f8c39f08741807f88046fefb9717fb29902877df42359aad8,drat-trim,0.1,True,0.4,12:54:11,
2,0,14,1,900.0,UNSAT,0.2,3356,229491,,c7049c1cbaffda50d192f2533ea948b95f84dc6e27eae44032986b513dc86cca,drat-trim,0.1,True,0.5,12:54:11,
3,0,14,1,900.0,UNSAT,0.2,3914,263688,,d39a461fc18e5d401f0fa8dcf370784edebe3d2e397a5d7180b310b6291aacdf,drat-trim,0.1,True,0.5,12:54:11,
9,0,14,1,900.0,UNSAT,0.2,3704,274327,,275bb9133991f8c15f1fd20a6eb2d6b26ed65b41046179193b4b7ed5e3834d80,drat-trim,0.1,True,0.5,12:54:11,
5,0,14,1,900.0,UNSAT,0.2,3720,269015,,ced04ab354c93b424f75638ea6433120e222957a85806c419195380f9bde96a1,drat-trim,0.2,True,0.5,12:54:11,
18,0,14,1,900.0,UNSAT,0.1,1575,112408,,cf33ed52ae4e58a53931816b6a60c0c05ffe32cb878e885d81df8a2967109fed,drat-trim,0.1,True,0.6,12:54:11,
17,0,14,1,900.0,UNSAT,0.1,1327,108646,,2630461f55fa89cd2e63562afb2fe4da4b5e1913202da056d684231fd5b28c77,drat-trim,0.1,True,0.6,12:54:11,
10,0,14,1,900.0,UNSAT,0.2,3817,285534,,572db08284278c31c07f2eecc2dd9ef7b14b1e96168db6438e72f604e4c66722,drat-trim,0.1,True,0.6,12:54:11,
16,0,14,1,900.0,UNSAT,0.1,2720,146395,,289ff590f8d794242196f5eefa2ab0058200db6798ef2749bc4e8a4f5df2fb29,drat-trim,0.1,True,0.6,12:54:11,
14,0,14,1,900.0,UNSAT,0.1,2834,297785,,f04096b45706238c062915600fc3f059df9c2de1b10a6fc27e1158589285d353,drat-trim,0.1,True,0.6,12:54:11,
19,0,14,1,900.0,UNSAT,0.1,2615,163626,,d2f7ae08bcc28ef88ad21c3a678ba635a05face76cc73f8324c658ed5767d7b5,drat-trim,0.1,True,0.6,12:54:11,
13,0,14,1,900.0,UNSAT,0.2,6266,415217,,db1afa3c7ee207a667781fce2d792713d372487b306dec6209f5bc6e72785494,drat-trim,0.2,True,0.6,12:54:11,
11,0,14,1,900.0,UNSAT,0.2,6012,395765,,52cd97aed9d6814bfa17c64bec002b6cab833bbd91d3b7b2a3fc86380b7a5d73,drat-trim,0.2,True,0.7,12:54:11,
12,0,14,1,900.0,UNSAT,0.3,5970,314393,,8c78832e89e1957d0e8d6aa56a99af0becce343e3cd774c183bbb07fe992566b,drat-trim,0.2,True,0.7,12:54:11,
21,0,14,1,900.0,UNSAT,0.1,986,87067,,1c111be935257082df1a12a5670abe5afb80d65f67e8b381f3e56ccbc0c1cadb,drat-trim,0.1,True,0.7,12:54:11,
22,0,14,1,900.0,UNSAT,0.1,1142,95758,,3b2efde63eeb9fbdbfa26122c7b861d17de38d4e75c6bbc8e402516645ec34a0,drat-trim,0.1,True,0.7,12:54:11,
20,0,14,1,900.0,UNSAT,0.1,1458,108343,,b5c97d8f30c25c24eede48dfbf71e7c1d0171a6bc472f5a342fbe6da17487a94,drat-trim,0.1,True,0.7,12:54:11,
23,0,14,1,900.0,UNSAT,0.1,1471,118751,,8045d0e4821f91d33a430e22652ab59089e1cec3bb1dc9285f0bc5f096f8d2f3,drat-trim,0.1,True,0.7,12:54:11,
25,0,14,1,900.0,UNSAT,0.1,1219,110558,,03059913e23ce19f9381b5da0e6ea2fff936e2387582b3a4fb12f5d70ed45873,drat-trim,0.1,True,0.7,12:54:11,
24,0,14,1,900.0,UNSAT,0.1,1428,105702,,f04e90ac303fc47cb497a62c21fb9c3e740c64d60f49d159c8b82ddbde07461d,drat-trim,0.1,True,0.8,12:54:11,
26,0,14,1,900.0,UNSAT,0.1,2361,143001,,914fe500429771c24faeaa877dcef3f7a65e34299891048a441bddd096894e82,drat-trim,0.1,True,0.8,12:54:11,
28,0,14,1,900.0,UNSAT,0.1,867,84744,,5cbc1366032bfd54ae565a1fbb4a3e0ba0fc37b7ea6dd916e279192c7ebbbdf6,drat-trim,0.1,True,0.8,12:54:11,
27,0,14,1,900.0,UNSAT,0.1,2705,151745,,73ee92d69636c862ce8ea731fbc58bd1294cd430255baf065cefdb20dd13b90b,drat-trim,0.1,True,0.9,12:54:11,
15,0,14,1,900.0,UNSAT,0.3,7424,460455,,f3c0cf49c4547adc6083002454df5bbd00de999545cc1707a0a4c844c9083872,drat-trim,0.2,True,0.9,12:54:11,
32,0,14,1,900.0,UNSAT,0.1,2750,169647,,233da741a4504ad61f0838491416fe1a1ea2c6d0d144ffd9c8b6e08ab9087a6d,drat-trim,0.1,True,0.9,12:54:11,
29,0,14,1,900.0,UNSAT,0.2,4395,267048,,63c226d601510f36c0d64572caf788d6b313590d07f3a7e70ed4babe6ebe0f58,drat-trim,0.1,True,1.0,12:54:11,
33,0,14,1,900.0,UNSAT,0.2,4008,266457,,c8b5042c887b4c407ef103de84d36f4574607ba8eff5d7440b9aac79c3ffe746,drat-trim,0.1,True,1.1,12:54:11,
35,0,14,1,900.0,UNSAT,0.2,3941,306335,,6c184cef274c139b27527687ba1ccedcec1d8b5cc7c95ca0798918f1a2b683f0,drat-trim,0.2,True,1.1,12:54:11,
31,0,14,1,900.0,UNSAT,0.2,6423,444688,,152a4074ef97f6381bf3bb565b900acd71b1e3b4a086bf7ba9522d5a4767d78e,drat-trim,0.2,True,1.1,12:54:11,
30,0,14,1,900.0,UNSAT,0.3,6877,415150,,27af40cfe97ea60ed24fdd974a256107022b960e3ea82e308ebc2ef44eab2cd6,drat-trim,0.2,True,1.2,12:54:11,
34,0,14,1,900.0,UNSAT,0.3,5779,354897,,eb24af3c17f857a3bb4838a12c690154dab27fa5c52e1f0a37b5eb468b90fcc8,drat-trim,0.2,True,1.2,12:54:11,
38,0,14,1,900.0,UNSAT,0.3,6158,358741,,53bba0164752c1ac5b0681a8e2e3220b7ecb1a1f16798ba8ccae71cec38192b5,drat-trim,0.2,True,1.3,12:54:11,
36,0,14,1,900.0,UNSAT,0.3,6602,359895,,d4f85c13741c35f78f390653ffb2ced6a336c74ef7ba2c513017171b30c58981,drat-trim,0.2,True,1.3,12:54:12,
39,0,14,1,900.0,UNSAT,0.3,6552,468954,,2c8c40e32b98d256c3d362905a5b2b1a689802ef3879ce3f939a101686c96687,drat-trim,0.2,True,1.3,12:54:12,
44,0,14,1,900.0,UNSAT,0.2,3975,262709,,3b1698c1baaef659c5bffa8a9a7e96d876589ea720fa8c28147780f6d702df82,drat-trim,0.2,True,1.4,12:54:12,
43,0,14,1,900.0,UNSAT,0.3,7148,408748,,833447ab389f3d3ab9b89297aad9ba87e9b41d11ef019f5b6953857389b90498,drat-trim,0.2,True,1.5,12:54:12,
48,0,14,1,900.0,UNSAT,0.2,4121,259872,,2df6b3fb84ac62452d9bbf401a525319d54fd28d2f3819dbcb4572a1c08a2238,drat-trim,0.1,True,1.5,12:54:12,
49,0,14,1,900.0,UNSAT,0.2,3927,255451,,1fca105409919e8b8f8b771c955bee83547a31528201c6a16a7a75fabb3be574,drat-trim,0.2,True,1.6,12:54:12,
42,0,14,1,900.0,UNSAT,0.4,8695,780946,,f2ae837ebb95b3bb5de963152724e7a1f87335011f7b5e0eef300e0781aa7dda,drat-trim,0.3,True,1.6,12:54:12,
40,0,14,1,900.0,UNSAT,0.4,9207,747979,,7e41fa7adb21f9273914a723f61c98436fd77cfeaae11b9deb150a1bdf253463,drat-trim,0.3,True,1.6,12:54:12,
50,0,14,1,900.0,UNSAT,0.2,4990,297776,,fb9acc506f17ff7685ea4ca1534efe72b404bbc918601648ce5cd2f797966c28,drat-trim,0.2,True,1.7,12:54:12,
45,0,14,1,900.0,UNSAT,0.3,8342,508971,,b4c136fa677877c4b6a22fc48be7e0919b5eef7af6a382b3b47335fbeb717d7f,drat-trim,0.3,True,1.7,12:54:12,
41,0,14,1,900.0,UNSAT,0.5,10265,733157,,c24dcc2e5ed149b58c7a07e28d9938d410a93cf3eb9c7feeb733e8af43742d09,drat-trim,0.3,True,1.8,12:54:12,
37,0,14,1,900.0,UNSAT,0.6,12171,842269,,6ced8600fb7738f6c381195a8f4a8d2febd79d5fe6bc38a88e79469eb38ae219,drat-trim,0.5,True,1.9,12:54:12,
52,0,14,1,900.0,UNSAT,0.2,6161,335906,,cfddcec2e8072e2a43308fad1885fbbb32b87b5d0fec290f995bc29264771966,drat-trim,0.3,True,1.9,12:54:12,
