id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
0,0,14,1,600.0,UNSAT,1.2,30824,2096539,,aa38788774ef3faa1ade79fdbdfeb1458e3d29dbc26f3af5cf246aeea067cca3,drat-trim,0.9,True,2.2,16:28:34,
8,0,14,1,600.0,UNSAT,1.3,31261,2325551,,58aadfac8965afdbd9f78e3c906dc1296a332f3d172acaf6f11d20294c6bdca5,drat-trim,0.9,True,2.3,16:28:34,
9,0,14,1,600.0,UNSAT,2.1,54703,3591105,,4c68fb7330fcb0f38f13727f5a606a1cd720423a3b334cb59051c9aabf88aba5,drat-trim,1.5,True,3.8,16:28:35,
1,0,14,1,600.0,UNSAT,2.7,65686,4215763,,16f9686fb5d32f71d24602a713ffdcc85f6c25a84b367b51ce38afa35805dfd0,drat-trim,1.9,True,4.8,16:28:36,
11,0,14,1,600.0,UNSAT,3.2,74547,5237333,,6b767fe56738fbe60783656c83819dd72f4d91f7c06960d881895bb5678c1188,drat-trim,2.4,True,5.8,16:28:37,
16,0,14,1,600.0,UNSAT,1.5,33453,2322328,,78a5bcfadd8bed3c2062a1326ca725b451acae1d1909cde5da4dfef8d795cf72,drat-trim,0.9,True,6.2,16:28:38,
2,0,14,1,600.0,UNSAT,3.4,78219,5477753,,8507ee61f055b7da6db341ecdb77db00a7031a9c1fd6cd2638a0a7f23d52ab2e,drat-trim,2.7,True,6.3,16:28:38,
6,0,14,1,600.0,UNSAT,3.4,79671,5237668,,dbe2349da22d0d05a9d9e6d316097e06700404bc88ac9b76980b67e73c09aac9,drat-trim,2.8,True,6.3,16:28:38,
4,0,14,1,600.0,UNSAT,3.5,82852,5629115,,4f6251a8c485fd242fd8277ab869ab7d126608a17eac8ea9d233307663aca452,drat-trim,2.8,True,6.4,16:28:38,
14,0,14,1,600.0,UNSAT,2.4,56225,3767436,,9e453f21fec4d496c8e4268189452a7c1bcce9bee76e695508e9de57fc78c29e,drat-trim,1.9,True,6.4,16:28:38,
12,0,14,1,600.0,UNSAT,3.6,86236,5729867,,72737c3f7afd2c25433bf52ab67d282f3e0b892b7dea4fe09608d6b1806daa5c,drat-trim,2.8,True,6.7,16:28:38,
17,0,14,1,600.0,UNSAT,1.2,25807,1896129,,863dcaf6df0d47d2ec26e0187c4b6de53ddcf22704bbcc95912f5fd389e070dc,drat-trim,0.7,True,6.7,16:28:38,
10,0,14,1,600.0,UNSAT,4.2,95231,6226729,,e2ca967fbfcb1b938ee08c1bcba0d4362682db0deffe9416e2c2cb5355e7e1e5,drat-trim,3.1,True,7.4,16:28:39,
21,0,14,1,600.0,UNSAT,1.2,29435,2213984,,d39034d80f149d7cab7aad34f1b9d3089aa1c07777f98ef34a102d6010fb970a,drat-trim,0.9,True,8.4,16:28:40,
20,0,14,1,600.0,UNSAT,1.3,32916,2308597,,7c1409497215307f5481801b82e6bd7a4d2bc050fc18a8620d78c71e1e906082,drat-trim,0.9,True,8.5,16:28:40,
3,0,14,1,600.0,UNSAT,4.6,112556,7469904,,9c6875187d00f17de59deaa8518be91ef83b3ae89983883e139af5d8c24401d4,drat-trim,3.8,True,8.6,16:28:40,
24,0,14,1,600.0,UNSAT,1.3,28862,1956433,,3bbf4a14efc2eceab8eeedef25f983a4123e6f654654f12f2cc14a4a0e36f511,drat-trim,0.9,True,8.9,16:28:41,
25,0,14,1,600.0,UNSAT,2.3,47826,3425753,,a7069d977ff82d494b20c51ae9b2ad338776e2b4e86f2e4bc2329755401c6c9c,drat-trim,1.6,True,10.6,16:28:42,
23,0,14,1,600.0,UNSAT,2.5,63226,4334254,,7a3551184563057d03f9013c38e45ed5273de5395ab09304dd13956314dd2dcb,drat-trim,1.8,True,10.8,16:28:42,
19,0,14,1,600.0,UNSAT,2.7,64309,4344344,,e2dc903524ab7e93a2b840081c8b554fa18e46e98ca6f0bd687e2b35f0b1c61c,drat-trim,2.0,True,11.0,16:28:43,
13,0,14,1,600.0,UNSAT,6.2,128505,8767458,,a7a4bd42b944bdba6b3ac12fe779a0e7ca1a3f571492daf932ed2a61b8345336,drat-trim,5.3,True,11.7,16:28:43,
32,0,14,1,600.0,UNSAT,1.0,23189,1589563,,7be5bab829e11117dcd3499ac06fbb2ee661015fafd5964487635a4dfb751b45,drat-trim,0.7,True,12.5,16:28:44,
18,0,14,1,600.0,UNSAT,4.0,86959,6333231,,3bee3af561cbc1fcb9c3c2a00b63a0bb605759fc1d0249e0a9e3de90b2969796,drat-trim,3.1,True,13.0,16:28:45,
33,0,14,1,600.0,UNSAT,1.2,28904,2184341,,3b0502b8ea0f195c27f99241eb3a13e420a9741d6a813c608b59225bece1e59f,drat-trim,0.8,True,13.2,16:28:45,
26,0,14,1,600.0,UNSAT,3.4,76673,5141863,,ca4acbab392c94b0360c4b16e324217f6aeff8c9c5c0775054badbba30160e03,drat-trim,2.6,True,13.5,16:28:45,
30,0,14,1,600.0,UNSAT,3.2,68785,4804902,,9f41a1a434b2b0f8d8d10273898afd62da5bea68273f0fe8fa8f662ebc625325,drat-trim,2.2,True,14.2,16:28:46,
28,0,14,1,600.0,UNSAT,3.2,75754,5343092,,2f4acfd65012b1da43f5d7a38225270c9431d17cd8cd3bd90714cff1ff999ef4,drat-trim,2.6,True,14.2,16:28:46,
27,0,14,1,600.0,UNSAT,3.8,69996,4919374,,d0c81d6fb450b26b55ae08a2db1f6956f031ae3bf555aa6e82cf15b0913b6bdc,drat-trim,2.4,True,14.6,16:28:46,
37,0,14,1,600.0,UNSAT,1.1,22678,1533330,,401db5b6f60014cc006c8092eeb6535fe8233d0905f4c180078193e63cdb6bcb,drat-trim,0.7,True,14.9,16:28:47,
15,0,14,1,600.0,UNSAT,6.9,143983,10123783,,eec49446abf5e070966ba7410e4ad3daefff1080a3f4ec6a3af386b2855995f0,drat-trim,5.8,True,15.0,16:28:47,
22,0,14,1,600.0,UNSAT,4.6,95113,6873838,,0e765056768db007e49ccef7a6f23bc66d726b6e86ea7d9d63754b52598a87f5,drat-trim,3.9,True,15.0,16:28:47,
36,0,14,1,600.0,UNSAT,1.4,30651,2265027,,e2598f5e097d1436d4ac9f24504d920049d5c45c464cd7889e9bfdd383eb486f,drat-trim,0.9,True,15.3,16:28:47,
34,0,14,1,600.0,UNSAT,2.7,58224,3955737,,9e38d3d999d92a3dae9d4e1f9c57b8ed7bb3abbac8d5cab6823f8240a308b0a0,drat-trim,1.6,True,16.0,16:28:48,
