id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
3,0,14,1,600.0,UNSAT,1.0,26122,1834579,,6b136c0a030e818ea8d8d091ea3e3861b473661df635449baf66e65220c9e341,drat-trim,0.8,True,2.0,21:25:15,
0,0,14,1,600.0,UNSAT,1.0,26153,1752636,,58b44abad9830500bf754b71c38db4ba6a8e10e97a06352bffef7cd09103fe32,drat-trim,0.8,True,2.0,21:25:15,
4,0,14,1,600.0,UNSAT,1.2,30146,2137635,,3c26119305096cb33f7bc2aeada6b7ed5d10f372c86f530ec087f2905e09385b,drat-trim,0.8,True,2.2,21:25:15,
2,0,14,1,600.0,UNSAT,1.4,32586,2524114,,abf156851b0d90ed8c62de3f927de238c5cd397bb43884a55494f8ef662c212a,drat-trim,0.9,True,2.4,21:25:16,
1,0,14,1,600.0,UNSAT,1.7,41411,2712316,,32cd8da35015523415d9a3049e3c6494e53b79ede389263a88a690f828092b86,drat-trim,1.2,True,3.0,21:25:16,
12,0,14,1,600.0,UNSAT,1.8,46019,3178684,,999870cf91127ec9c03560acb4f7af0be34f3cd09af35676c6172abf2615e1f2,drat-trim,1.2,True,3.2,21:25:16,
9,0,14,1,600.0,UNSAT,1.9,47870,3221074,,9f154e989ee33688c023a827bb30415bfeb856ea0acc25e50b3736c2b676b411,drat-trim,1.5,True,3.6,21:25:17,
13,0,14,1,600.0,UNSAT,2.5,65715,4343977,,61349583e0a78c2c199f7d06be2e10bbd5f2bbf8d50d92bb9b68cb171a63cd6a,drat-trim,2.0,True,4.7,21:25:18,
5,0,14,1,600.0,UNSAT,2.5,63533,4272224,,f4f552faa43eec2b5792ddcf0de6bea57d69e39664bbc3ea5f29e05025a2806f,drat-trim,2.1,True,4.8,21:25:18,
16,0,14,1,600.0,UNSAT,1.8,42257,2915660,,3bfee16e8d4b95ea095331852d9f3e208b7cea9057cc691e43221ccde2873d38,drat-trim,1.3,True,5.3,21:25:18,
8,0,14,1,600.0,UNSAT,2.9,68274,4665960,,3b48bab2fa90bb34b9ac3325983e7f740f0804fd853f44fa8ef203635968d608,drat-trim,2.3,True,5.4,21:25:19,
6,0,14,1,600.0,UNSAT,3.2,70244,5304543,,92fe11ff59ee54b5aa7df53af0ae0ab008f7bbbc9380d1698670cd1cfc88d0dc,drat-trim,2.3,True,5.7,21:25:19,
7,0,14,1,600.0,UNSAT,3.7,86529,5784698,,e1c838fc851baf6dada0fab7152db9a409dade0a669e17a02e0fe09964dee4de,drat-trim,2.9,True,6.8,21:25:20,
15,0,14,1,600.0,UNSAT,2.9,63793,4416589,,cdd29c6d38f295b2f54e42909e717300f051b0af005a41e3f78fe5e45c2404b2,drat-trim,2.2,True,7.0,21:25:20,
10,0,14,1,600.0,UNSAT,4.0,88281,5870800,,32c72e895a8507b41def4014e5a2162461aa1ddeb74b7a323f13f7b57cec7630,drat-trim,3.2,True,7.4,21:25:21,
24,0,14,1,600.0,UNSAT,1.5,33607,2266537,,84b0a37114548977cb58d191f472a5345eb96e68caab56beae6c4e0b2e62f1ba,drat-trim,0.9,True,7.8,21:25:21,
17,0,14,1,600.0,UNSAT,3.4,75285,5091074,,62ced1349bd388569cb27afcb5a536362419c5c2f5d0958da164c14e2ef762f5,drat-trim,2.8,True,8.6,21:25:22,
18,0,14,1,600.0,UNSAT,3.2,69092,5049053,,4ad6ab9e6c02429ef2148f0ada5c7e9d241956b41fcdafed2a0b9d4feaa2f473,drat-trim,2.4,True,8.6,21:25:22,
20,0,14,1,600.0,UNSAT,2.9,67920,4483335,,8286a2f3858a3a530c313c940949f6bd6ad9a5436ba6754caa4f270e498aa6fa,drat-trim,2.3,True,8.9,21:25:22,
26,0,14,1,600.0,UNSAT,1.2,28039,1890934,,e36567303e211d4969a373a93b27a6c04815849c3a6e4cabb8849cf3aec2e32b,drat-trim,0.9,True,8.9,21:25:22,
25,0,14,1,600.0,UNSAT,2.4,55168,3645939,,6b77e822184e2197b6f8d2053cd6bdecf8675a81750b6505096aeb0b50ba2089,drat-trim,1.8,True,9.9,21:25:23,
32,0,14,1,600.0,UNSAT,0.7,17392,1258330,,61784d3dbf4fe17ca3c444413b7bfaad0a8caf667584a0117f0d9566590e786b,drat-trim,0.5,True,10.1,21:25:23,
22,0,14,1,600.0,UNSAT,3.1,69088,4966317,,f45b92ee8d34e59589f7e424dec4b0b3372614ac5c26d88985ccf348bc2adfac,drat-trim,2.5,True,10.4,21:25:24,
28,0,14,1,600.0,UNSAT,1.8,40164,2663741,,936c99c5569c74966f08e13eb158c5021aa7c084342cec290966615fb1c5579f,drat-trim,1.2,True,10.4,21:25:24,
33,0,14,1,600.0,UNSAT,0.9,20925,1617304,,25eb27d3f7c17f0e416de56d93d901a096cb160ec4ac66716374b4e0a45161c6,drat-trim,0.7,True,10.6,21:25:24,
36,0,14,1,600.0,UNSAT,0.7,12661,767385,,75dc17c2a10a51c1323348fda7a9ae7d029611cd994c069f45b70248e51d84aa,drat-trim,0.5,True,11.5,21:25:25,
38,0,14,1,600.0,UNSAT,0.6,10883,712086,,fac5935609a2cda94f89a66da6fa5bed73b03585358623ad4848bec290795df8,drat-trim,0.3,True,11.5,21:25:25,
35,0,14,1,600.0,UNSAT,1.1,22883,1610812,,cfd6b44bdeeb225f742d2251375453ad3bfe9c7b4d39fc1b3dc601e84e29f45e,drat-trim,0.6,True,11.8,21:25:25,
34,0,14,1,600.0,UNSAT,1.2,26351,1754669,,290ae864f74c3c42deb09dac1cd291eb287694702350327ce11848098602ae0b,drat-trim,0.8,True,11.9,21:25:25,
29,0,14,1,600.0,UNSAT,2.4,51517,3475884,,c9e48dd15e0782122575c4703d2d633f6a2345df52506785c9a67d5290c1b460,drat-trim,1.7,True,12.0,21:25:25,
30,0,14,1,600.0,UNSAT,1.9,44053,3067179,,a9c5416e2b4a62f4bbd35a4407ec522204fd38256b2fc2fd8ccca3f2f97fad75,drat-trim,1.5,True,12.1,21:25:25,
37,0,14,1,600.0,UNSAT,1.0,21874,1541392,,f302561124e8967ba20eadc71a5ba8a3913c82dacdd401b2ef085619310814b5,drat-trim,0.6,True,12.1,21:25:25,
39,0,14,1,600.0,UNSAT,1.3,27111,1948275,,216e5f31033baba1bbe2a8be9ff985fcaa4e1b58301411d099ec704b3c58c120,drat-trim,0.9,True,13.7,21:25:27,
11,0,14,1,600.0,UNSAT,7.4,148619,10472023,,a495e0b953f11301da3523d485197ebf4adf9785f17b2651c788037d4f8baa3d,drat-trim,6.9,True,14.5,21:25:28,
40,0,14,1,600.0,UNSAT,2.0,43021,2899240,,865a561fe7a72b07f80aa840f8bf5f55a47aec8d4aeb7c5a74abe6eabb2eaff6,drat-trim,1.3,True,14.8,21:25:28,
43,0,14,1,600.0,UNSAT,2.0,43818,3007155,,86366cd1c3af3941809fc0336f42aa4a101a3e1e5da1e9349f97ec47e09f8065,drat-trim,1.3,True,15.3,21:25:28,
