id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
0,0,14,1,600.0,UNSAT,1.1,23660,1851063,,b0bf53bcfc86434a3a68275f411c7ddf0985759d161e33a1358ab58b423a232c,drat-trim,0.7,True,1.9,22:45:27,
3,0,14,1,600.0,UNSAT,1.2,28393,1940417,,a3c1db987ee4659db6cfb9f49469587fed37893f03a95ca75b255dd8ea643e2d,drat-trim,0.7,True,2.1,22:45:27,
2,0,14,1,600.0,UNSAT,1.4,29968,2021388,,dc4af6563c4bca7908e5c077859dc02cd9f4f2ea1cc37f23fbf1e98bf2c4943f,drat-trim,0.8,True,2.3,22:45:27,
1,0,14,1,600.0,UNSAT,1.6,35775,2554880,,ca7f4e830a4cd8e2a8f69b97fdf1a13365bfb01abdcdd072b5464b68ed5eded7,drat-trim,0.9,True,2.7,22:45:28,
4,0,14,1,600.0,UNSAT,1.7,38126,2496846,,86d799b93cacc9ba2315ee6d50bce4f6b7e756a6500746d2a55757a06ab8937b,drat-trim,1.0,True,2.8,22:45:28,
12,0,14,1,600.0,UNSAT,2.0,45951,3301418,,f560bd541a7b8b678fb458d23752d6996197188e98795a19b8a2f1c3023af4f9,drat-trim,1.3,True,3.4,22:45:28,
9,0,14,1,600.0,UNSAT,2.7,61401,4464355,,ae742a1319f6df617b3d7befb9e5089fab7720447c564182ad743dfdfaf68016,drat-trim,1.8,True,4.6,22:45:30,
6,0,14,1,600.0,UNSAT,2.8,66469,4393333,,5bb1dc12a3dc703b76338be41df22004444c1c32ab891fd2e08f8673b14505b3,drat-trim,1.9,True,4.8,22:45:30,
8,0,14,1,600.0,UNSAT,2.8,66242,4306710,,3f2043f4049ac904e90a3ef0ad182d1f77b2b48210e0a765c38264e1fa53cc39,drat-trim,1.8,True,4.9,22:45:30,
16,0,14,1,600.0,UNSAT,1.6,39313,2661961,,e68407bc513c298f1ea2dc70c50ee4895aad58f20665de64dc14e3b0a8e8858d,drat-trim,1.1,True,5.0,22:45:30,
5,0,14,1,600.0,UNSAT,2.9,68579,4547718,,0bd9f5d0639e350a8b92a26781a07f85c0e75dc8da39358d89324fed3b5b8bfa,drat-trim,2.2,True,5.2,22:45:30,
13,0,14,1,600.0,UNSAT,3.4,79288,5420666,,6ce71b6abf85c71201cbbe8c41373bbf38599f212e78c3941d5571d50ed42380,drat-trim,2.4,True,5.9,22:45:31,
15,0,14,1,600.0,UNSAT,2.5,62576,4251496,,9b23614fa5f77e5fd931db697ed04cf53f414b325afd16324b1f2ef915e6f41f,drat-trim,1.9,True,6.4,22:45:31,
17,0,14,1,600.0,UNSAT,2.4,58489,3969911,,55b51f58770ef33ab45b67c904d48e2549ed82caebd0dc085a216b5e291a821d,drat-trim,1.9,True,7.0,22:45:32,
10,0,14,1,600.0,UNSAT,4.1,94079,6918826,,8b011302b3a08438f921b233251c031c472c4c355a028a23ef4ccbd622a5ac51,drat-trim,3.1,True,7.4,22:45:32,
24,0,14,1,600.0,UNSAT,1.2,30922,2121052,,a0579907377a33dabbf146d471ddfa567320b10d97783673baa3b78fb9086b23,drat-trim,0.8,True,7.4,22:45:32,
18,0,14,1,600.0,UNSAT,2.8,67831,4819674,,233961bf3f0df3d53b62f4c5c8bd7dcb32be3f6975157df0f544330a472d49ea,drat-trim,2.1,True,7.8,22:45:33,
26,0,14,1,600.0,UNSAT,1.3,31288,2431338,,610a313cbe1c8ebf80ac3e6a9b492dfdb7924336f844f3cf0609b0235df37753,drat-trim,0.9,True,8.6,22:45:34,
11,0,14,1,600.0,UNSAT,4.7,104496,7575393,,86599723326d35d126a69553675930d0a69aa022191fc24fe0989469969b1ecd,drat-trim,4.0,True,8.8,22:45:34,
20,0,14,1,600.0,UNSAT,2.5,65489,4204779,,fc5d9d6064f4b6d25e18989386889a66570137d6b67be3c715c931893d570346,drat-trim,1.8,True,9.0,22:45:34,
25,0,14,1,600.0,UNSAT,2.1,49031,3522649,,79b4c1f05d448b0be221ee9ce9a0e0e4258ebf771ce077fbc8a438e256247f65,drat-trim,1.5,True,9.5,22:45:34,
32,0,14,1,600.0,UNSAT,0.4,10336,635517,,8ae4771781b33b8d5705190cfc97c1f276bec334a2eaf24caefb90e66165a31e,drat-trim,0.3,True,9.6,22:45:35,
28,0,14,1,600.0,UNSAT,1.5,37919,2689702,,f60b4d5682361f7a6d944cc654b534dff15bbefad43a3ac2e077587b0bf77318,drat-trim,1.0,True,9.8,22:45:35,
22,0,14,1,600.0,UNSAT,2.8,70291,4730122,,55316e1bc4c911e6cd6f975fbb7845dd9fb5a899df9f22b8434279902653b6ec,drat-trim,2.2,True,9.9,22:45:35,
33,0,14,1,600.0,UNSAT,1.0,27949,1881011,,b6dc41210758b08f1229260b003f1f77709eb36727d8161f9ac319247b366fd0,drat-trim,0.6,True,10.6,22:45:36,
36,0,14,1,600.0,UNSAT,0.7,15107,1197237,,951b7787f244a321df6adc88cffcf07fd76fb43b02d87a0470a52bfdd6a6ca46,drat-trim,0.5,True,11.0,22:45:36,
7,0,14,1,600.0,UNSAT,6.1,134870,8877712,,dd2ead93db4d881125691e394eda15d1e6f34a38b68e719502f542cf9efd869a,drat-trim,4.7,True,11.0,22:45:36,
