id,depth,nlits,attempt,timeout,status,solve_s,conflicts,proof_bytes,proof_lines,proof_sha,checker,verify_s,verified,elapsed_s,when,tail
3,0,14,1,600.0,UNSAT,1.1,26821,1969076,,f84ada183e0b9f7c2fd8b49eba29a3182e6308be91290ae6fc4f57cfff6f0c5c,drat-trim,0.6,True,1.8,21:04:59,
0,0,14,1,600.0,UNSAT,1.2,30385,2271916,,c9ad396cf635bb269a4e946a4f8bf675a0e8264dbe33e098df4703bd325e0e95,drat-trim,0.8,True,2.2,21:04:59,
4,0,14,1,600.0,UNSAT,1.6,40480,2645850,,37a287898aafc990323f13f892708319d12f21b7fbddf61b608022ca302062c8,drat-trim,1.1,True,2.8,21:05:00,
1,0,14,1,600.0,UNSAT,1.7,40219,2684014,,c0428f58f410b218278bc14cededb0543a7b2141cac286cac5496087677ecd4a,drat-trim,1.0,True,2.8,21:05:00,
12,0,14,1,600.0,UNSAT,1.7,43241,2923038,,5b4cb6d9c7a5ffca3704a8b52c7374af601ba20130082d8971e219f91a84d1ac,drat-trim,1.2,True,3.1,21:05:00,
2,0,14,1,600.0,UNSAT,1.8,45635,3267058,,c8da73fa259c9bbe0db99509ed0575c20b063716877b7957a09cf133b77613bf,drat-trim,1.4,True,3.3,21:05:00,
9,0,14,1,600.0,UNSAT,2.4,58674,4121146,,e81447f3ea3ed56310fca9f3e70bb828ef79156ed1254930105c93c5661c6e14,drat-trim,1.8,True,4.3,21:05:01,
5,0,14,1,600.0,UNSAT,2.5,60924,4285829,,6cf0381d22839a37521a78d0946ca4a4d51bfee99e69649b8814b1d4801bbb70,drat-trim,1.9,True,4.6,21:05:02,
6,0,14,1,600.0,UNSAT,2.9,69382,4647231,,c6def25a9d389669bd27cd23d3c4de85625bed2f80a1431f5c3f339fab8eda7f,drat-trim,2.3,True,5.3,21:05:02,
13,0,14,1,600.0,UNSAT,3.3,78671,5279377,,68a3c0831e5c46bbe022b4d862cbc6ceffea5d087f196466846218d9e7c2bf7c,drat-trim,2.6,True,6.0,21:05:03,
16,0,14,1,600.0,UNSAT,1.9,46866,3215416,,9f88b23fed313c36a3eff346173ae02d95e9c55924200f3a463de55e57e394b2,drat-trim,1.5,True,6.2,21:05:03,
8,0,14,1,600.0,UNSAT,3.8,85683,5701334,,ee555816cc3600afcb7f1d5a07bbadf48299220ca9ac7c8cfa3628d5885e7009,drat-trim,2.8,True,6.8,21:05:04,
15,0,14,1,600.0,UNSAT,2.6,63666,4452381,,f6a986d878121b9bd0e5a034bf5783f7ccc639846cd57b528f4b638a0fa0c8aa,drat-trim,2.0,True,6.8,21:05:04,
10,0,14,1,600.0,UNSAT,3.9,89645,6124398,,99bdb1046be5d781ce767dafde72aba86809aa482995b7fb7d9dd33ec55f186d,drat-trim,3.1,True,7.1,21:05:04,
17,0,14,1,600.0,UNSAT,3.0,68750,4673620,,f494fe2967527703767e220f1d56a2b1f07c72b21cb4b145390665ab5593a4b2,drat-trim,2.2,True,8.1,21:05:05,
18,0,14,1,600.0,UNSAT,3.1,67946,4714965,,0e0db26ee69228ecc67afcd9addb7d16a433236d80a14b8842ec386c56deab3a,drat-trim,2.3,True,8.5,21:05:06,
26,0,14,1,600.0,UNSAT,1.2,30159,2177533,,c74d716769a1e4f0ed00c71b3a400b0adecb05b86c90b241491f31c1c94f02ed,drat-trim,0.9,True,8.8,21:05:06,
11,0,14,1,600.0,UNSAT,4.7,109183,7587658,,acf61182357f20d87e228b1827e4d7e2b69eaf35cf80c8ec2899bcf3cb46df59,drat-trim,4.1,True,8.9,21:05:06,
24,0,14,1,600.0,UNSAT,2.0,45980,3050134,,5956e083ffe73ce0287bd5352434c854d657c261cd3f2abf6df7dd68e52bf611,drat-trim,1.3,True,9.4,21:05:06,
32,0,14,1,600.0,UNSAT,0.4,8949,784802,,62873dd8c6ef7de2f49ab3e4f777545f29d5f79e0495cd82c4f3564016ab73f3,drat-trim,0.3,True,10.2,21:05:07,
20,0,14,1,600.0,UNSAT,3.5,78166,5183866,,9102bee58d310bc83204fc8a94e7ab073ca6ca90efcf3fa43a235d37446a07bc,drat-trim,2.5,True,10.3,21:05:07,
28,0,14,1,600.0,UNSAT,1.8,42068,2940054,,579ba7442d2989584b92170361e125391da38717552b340fcd33a74aa10827dc,drat-trim,1.3,True,11.2,21:05:08,
22,0,14,1,600.0,UNSAT,3.4,78409,5385570,,8e911355e888ef479eeb0c3303d8606d11c7aca62662003f5492abfb40fb9a3f,drat-trim,2.5,True,11.4,21:05:08,
33,0,14,1,600.0,UNSAT,1.0,25736,1808663,,6596bb089a988717f7ee86d1d80c59b92b5fd0092dab636da53bc6aea0f473ed,drat-trim,0.5,True,11.7,21:05:09,
34,0,14,1,600.0,UNSAT,0.9,19563,1413404,,3d00a2a0fde71516a9c7a1d66596a5edf384039a6d02b24dd418e2bffac95b02,drat-trim,0.6,True,11.7,21:05:09,
25,0,14,1,600.0,UNSAT,2.9,66019,4371718,,77ab6087b87557d9c29b7f3e4de4633f95227de39529ae043e81c2762bd704ad,drat-trim,2.1,True,11.8,21:05:09,
30,0,14,1,600.0,UNSAT,1.9,45844,3371223,,0850abd736b8df049ee025bcc156a09dedc290252d79754671ec6fd65aa4a3fb,drat-trim,1.5,True,12.3,21:05:09,
36,0,14,1,600.0,UNSAT,0.7,14968,1304444,,55ddb4232b97fa85c465acb1313df1905db93cb4091d0db9871b711041a574c9,drat-trim,0.5,True,12.6,21:05:10,
35,0,14,1,600.0,UNSAT,0.9,21559,1607694,,881999382b04286c0d2b5cf9d6dc6971c85e7333cc169ead4f9f0a28df8733be,drat-trim,0.6,True,12.8,21:05:10,
38,0,14,1,600.0,UNSAT,0.7,13320,859171,,2ac31445b78107faab8958e6dffaee784f3d14d74d201d01923e9e31de68f566,drat-trim,0.4,True,12.8,21:05:10,
37,0,14,1,600.0,UNSAT,0.7,14959,1220763,,73c223d31168d26095c08ab74c9e03efb3516899f60ec5454705e71cacced9e8,drat-trim,0.5,True,12.9,21:05:10,
29,0,14,1,600.0,UNSAT,2.5,60727,4139561,,e125506b77436221d802b620d9c371d074c020c27df986c92ebf30372d5910aa,drat-trim,1.8,True,12.9,21:05:10,
7,0,14,1,600.0,UNSAT,6.9,154752,10661373,,59601c813d477a9360e15d7c136be6846552c2ddd13c11777bba31b53445e850,drat-trim,6.2,True,13.3,21:05:10,
14,0,14,1,600.0,UNSAT,6.3,136530,9909226,,76c3075f92f6e4e736d25d627e6eb1db1ec4f979e8f45e1000b7a7fa5a11424d,drat-trim,5.3,True,13.5,21:05:10,
39,0,14,1,600.0,UNSAT,1.2,29058,1853847,,4ab13da9fbe4e33f027dacccac5f3102d3f12d7e149f5d3a6068323c986396f2,drat-trim,0.9,True,13.9,21:05:11,
48,0,14,1,600.0,UNSAT,1.2,29243,1970852,,e4636109dbdc9b4a1191b8732dbb9a28a850b31f7c2f20a2407a99b496cc8af6,drat-trim,0.7,True,15.7,21:05:13,
19,0,14,1,600.0,UNSAT,7.1,143352,10586953,,18652fe15102cd806d45c96ccb8e1ded270b713fdb3b70ae53ef332d31bdc841,drat-trim,5.6,True,16.0,21:05:13,
40,0,14,1,600.0,UNSAT,2.3,52353,3454785,,fbf847c586e8813414d780d2f079d0a97d3eb9c817acde6614b0e1eb15c5614c,drat-trim,1.8,True,16.4,21:05:13,
50,0,14,1,600.0,UNSAT,0.4,8334,457375,,49b5250003d626124c1ab88b430267c24b799e8367da7be39af6b8b16576d93c,drat-trim,0.3,True,16.6,21:05:14,
41,0,14,1,600.0,UNSAT,2.5,61368,3936807,,590910b16a9b45a86bd8450f17ac0efc77a4b6c2222935de21987b15a6b9ce16,drat-trim,1.8,True,16.8,21:05:14,
49,0,14,1,600.0,UNSAT,1.1,27880,1885021,,f11f0fcd34ca5a7518571ae0600ef37d9cf18b7d9d9085d57193dd5405783e04,drat-trim,0.7,True,17.5,21:05:15,
51,0,14,1,600.0,UNSAT,0.6,12391,1068505,,c2f96ef1cdd58e60b1122a83fab91be9d01845ef84d07694d26fc5b42992e342,drat-trim,0.4,True,17.5,21:05:15,
46,0,14,1,600.0,UNSAT,2.8,61103,4157560,,9706a22e6bc6fb82934e2c7c894767cb0393024a08618d8abd4ba8fbe67415d7,drat-trim,2.0,True,18.0,21:05:15,
47,0,14,1,600.0,UNSAT,2.7,61168,4073606,,744580cd50f0cfffb2fdb1c7eaa443d589ea033aab260f401c4a17e1d557d10c,drat-trim,2.0,True,18.2,21:05:15,
42,0,14,1,600.0,UNSAT,3.2,75752,4962200,,1dc7566bab7993d811f159a8b4f24cc062284c8c67db959fa691180268056a86,drat-trim,2.4,True,18.3,21:05:15,
45,0,14,1,600.0,UNSAT,3.2,76714,4918397,,1b480b66652c7d8f2b29006cbc0b92343b97f399e2521cc64bf15fe73dec4cfe,drat-trim,2.3,True,18.4,21:05:15,
27,0,14,1,600.0,UNSAT,6.1,126083,9083327,,08f5eaca1400c6a9e0b02e8c18de47ced397727ab4e32f70f035e0df834cbca7,drat-trim,5.2,True,18.4,21:05:15,
44,0,14,1,600.0,UNSAT,3.8,88129,5577444,,766714220b45f2f26e55eafb00fcbac2ac02f603bdc8373e1717cd3f250ae23f,drat-trim,2.6,True,19.3,21:05:16,
54,0,14,1,600.0,UNSAT,1.1,29527,2013797,,932d3c7226cc172c69ffe47704ebd735e3b6914c37cbff2e8a488f1b223e11a5,drat-trim,0.8,True,19.4,21:05:16,
43,0,14,1,600.0,UNSAT,3.7,82703,5837402,,34a9efbd10fe255e9f87cb5e7095c418e6401b980cd488bb740ce48888a94dc8,drat-trim,2.9,True,19.5,21:05:17,
56,0,14,1,600.0,UNSAT,1.2,28334,1996423,,7d50fb5a8135a1866d694bef4e39fba8ac57cb5d9dca0407ec8930fcf3bb35e2,drat-trim,0.7,True,20.0,21:05:17,
21,0,14,1,600.0,UNSAT,8.6,161131,11451364,,e24e85fed7dc3134f1ba0a3887301e9cfef3bdbcbb5adeee9a4e0b89e3f03617,drat-trim,7.1,True,20.3,21:05:17,
57,0,14,1,600.0,UNSAT,1.4,31747,2333753,,45b27c69fe1b5dbca954a7727b731be5000c11ce5bb787c22394d9f97c476ad3,drat-trim,0.9,True,20.4,21:05:17,
64,0,14,1,600.0,UNSAT,0.3,7336,408628,,117279cc45716df59a3b1091ada099cf6fb8dbbb37fca9cfb611061fb7608eca,drat-trim,0.2,True,20.5,21:05:18,
65,0,14,1,600.0,UNSAT,0.4,9258,774955,,8e9cf5eab9f05d92221286157099c900593bbd6fe9ff956833ab44fdcda62baf,drat-trim,0.3,True,21.0,21:05:18,
53,0,14,1,600.0,UNSAT,2.4,58466,3807323,,7a0e7e5cc88dcab557c9538f437762c18a01c774434c2232cf0fa12144804951,drat-trim,1.7,True,21.0,21:05:18,
66,0,14,1,600.0,UNSAT,0.3,8294,464908,,27ed57f8f7bc17447cce9aae5a332a4e8ad4498f68b00187c6af9a2c863cb604,drat-trim,0.3,True,21.0,21:05:18,
52,0,14,1,600.0,UNSAT,2.6,60031,3834651,,7c8196ad73a6793c050a7007103a0df8e0070bd3ac57b6af7e691e38d59e1e13,drat-trim,1.8,True,21.0,21:05:18,
60,0,14,1,600.0,UNSAT,1.6,41130,2628979,,bdcc8e5d74527cc2a4eae5187dc26be8b11ec7b1bdaae58ef05d7b8c2330dc31,drat-trim,1.1,True,21.1,21:05:18,
71,0,14,1,600.0,UNSAT,0.3,8469,460525,,16e0f1b8216a917f7dd5d17d263c413fe75e3fc20893eeff4440d8f6b731012b,drat-trim,0.2,True,21.6,21:05:19,
67,0,14,1,600.0,UNSAT,0.8,17790,1200803,,26eaeb1be33e3b6b4c0bf21d7663dfe8671e6f3dcb56a680174734ecc8931586,drat-trim,0.5,True,21.8,21:05:19,
69,0,14,1,600.0,UNSAT,0.5,9614,800042,,1d409d54dbf3b4d697452be302c16b5ba63047d8e66c1825567b257b506fc591,drat-trim,0.3,True,21.8,21:05:19,
70,0,14,1,600.0,UNSAT,0.6,12853,837184,,2236501255a73d54816f8e2a7c08d0e0f9e8e0e2c0c0e0be19856303c506b957,drat-trim,0.3,True,22.0,21:05:19,
68,0,14,1,600.0,UNSAT,0.6,12738,801809,,94749c2cb6261623fbc35719fd306ee12e3f61f04ce3ac49575433685f344947,drat-trim,0.4,True,22.0,21:05:19,
55,0,14,1,600.0,UNSAT,2.9,68063,4640067,,129b14eb3a89c4b3296e6eb76f58242a163d8a84fc65129342739995df511ac3,drat-trim,1.9,True,22.3,21:05:19,
58,0,14,1,600.0,UNSAT,2.6,59426,3985440,,4b6e527ce26eab4f753e97cfc1f55e670d1ae7220cdc770527ccf8c685a7b7c2,drat-trim,1.8,True,22.6,21:05:20,
76,0,14,1,600.0,UNSAT,0.6,12323,953489,,4021399fbdbafd52aac7a0e4dd0e70781bcb1ee96a5aa55282678efd3db63cd9,drat-trim,0.4,True,22.9,21:05:20,
